"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"325","1/19/2015","Quarter3","2","Monday",12,0.8,2.9,NA,1440,0,0,0,0,8,0.793844697
"393","1/22/2015","Quarter4","2","Thursday",12,0.6,4.08,NA,5400,0,0,0,0,9,0.327407407
"402","1/24/2015","Quarter4","2","Saturday",12,0.7,4.08,NA,1620,0,0,0,0,9,0.858585859
"434","1/25/2015","Quarter4","2","Sunday",12,0.7,4.08,NA,1620,0,0,0,0,9,0.618181818
"450","1/26/2015","Quarter4","2","Monday",12,0.7,4.08,NA,1620,0,0,0,0,9,0.769292929
"466","1/27/2015","Quarter4","2","Tuesday",12,0.7,4.15,NA,1080,0,0,0,0,9,0.823555556
"488","1/28/2015","Quarter4","2","Wednesday",12,0.75,4.08,NA,1080,0,0,0,0,9,0.755555556
"514","1/29/2015","Quarter5","2","Thursday",12,0.75,4.08,NA,1080,0,0,0,0,9,0.634666667
"527","1/31/2015","Quarter5","2","Saturday",12,0.75,4.08,NA,1080,0,0,0,0,9,0.971866667
"556","2/1/2015","Quarter1","2","Sunday",12,0.75,4.08,NA,1080,0,0,0,0,9,0.702666667
"572","2/2/2015","Quarter1","2","Monday",12,0.75,4.08,NA,1080,0,0,0,0,9,0.740444444
"591","2/3/2015","Quarter1","2","Tuesday",12,0.8,4.08,NA,1080,0,0,0,0,9,0.778222222
"615","2/4/2015","Quarter1","2","Wednesday",12,0.8,4.08,NA,1080,0,0,0,0,9,0.687555556
