"","date","quarter","department","day","team","targeted_productivity","smv","wip","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity"
"3","1/1/2015","Quarter1","1","Thursday",11,0.8,11.41,968,3660,50,0,0,0,30.5,0.800570492
"29","1/3/2015","Quarter1","1","Saturday",11,0.8,11.61,1005,7080,50,0,0,0,29.5,0.800237288
"55","1/4/2015","Quarter1","1","Sunday",11,0.75,19.31,513,6480,45,0,0,0,54,0.750348457
"72","1/5/2015","Quarter1","1","Monday",11,0.8,19.31,678,4800,50,0,0,0,55,0.800250962
"101","1/6/2015","Quarter1","1","Tuesday",11,0.75,19.31,590,9900,45,0,0,0,55,0.750057851
"125","1/7/2015","Quarter1","1","Wednesday",11,0.8,31.83,568,9900,40,0,0,0,55,0.412119835
"147","1/8/2015","Quarter2","1","Thursday",11,0.35,12.52,287,25920,38,0,0,0,54,0.349951389
"166","1/10/2015","Quarter2","1","Saturday",11,0.5,12.52,749,9540,38,0,0,0,53,0.673245283
"189","1/11/2015","Quarter2","1","Sunday",11,0.6,12.52,831,9540,30,0,0,0,53,0.600229846
"212","1/12/2015","Quarter2","1","Monday",11,0.65,12.52,1004,9540,44,0,0,0,53,0.64998056
"235","1/13/2015","Quarter2","1","Tuesday",11,0.7,27.13,530,9540,37,0,0,0,53,0.582301029
"256","1/14/2015","Quarter2","1","Wednesday",11,0.35,14.61,838,7200,23,0,0,0,55,0.35003125
"277","1/15/2015","Quarter3","1","Thursday",11,0.5,14.89,917,9900,30,0,0,0,55,0.500025069
"296","1/17/2015","Quarter3","1","Saturday",11,0.6,14.89,1027,10080,38,0,0,0,56,0.600273268
"312","1/18/2015","Quarter3","1","Sunday",11,0.65,14.89,1140,10260,44,0,0,0,57,0.650299575
"330","1/19/2015","Quarter3","1","Monday",11,0.7,14.89,1484,10260,50,0,0,0,57,0.700170388
"347","1/20/2015","Quarter3","1","Tuesday",11,0.7,14.89,1501,10260,50,0,0,0,57,0.700170388
"364","1/21/2015","Quarter3","1","Wednesday",11,0.7,14.89,1735,10260,50,0,0,0,57,0.700170388
"382","1/22/2015","Quarter4","1","Thursday",11,0.7,14.89,1863,10260,50,0,0,0,57,0.700170388
"408","1/24/2015","Quarter4","1","Saturday",11,0.75,42.97,1282,10260,56,0,0,0,57,0.750041201
"435","1/25/2015","Quarter4","1","Sunday",11,0.75,42.97,532,10260,40,0,0,0,57,0.59114168
"456","1/26/2015","Quarter4","1","Monday",11,0.35,28.08,749,10260,23,0,0,0,57,0.350066986
"477","1/27/2015","Quarter4","1","Tuesday",11,0.5,48.18,1282,6480,23,0,0,0,54,0.37046657
"493","1/28/2015","Quarter4","1","Wednesday",11,0.5,20.1,1413,5880,46,0,0,0,54,0.500567308
"515","1/29/2015","Quarter5","1","Thursday",11,0.6,20.1,1601,4320,46,0,0,0,51,0.60059761
"539","1/31/2015","Quarter5","1","Saturday",11,0.65,20.1,1417,6480,49,0,0,0,54,0.650148148
"557","2/1/2015","Quarter1","1","Sunday",11,0.7,20.1,1192,6120,75,0,0,0,54,0.700508929
"573","2/2/2015","Quarter1","1","Monday",11,0.7,20.55,9792,6480,60,0,0,0,54,0.700398148
"593","2/3/2015","Quarter1","1","Tuesday",11,0.7,25.31,946,5760,60,0,0,0,54,0.700513566
